pais,nombre_completo,club,posicion,partidos_internacionales
Turquía,Mert Günok,Fenerbahçe,Portero,37
Turquía,Altay Bayındır,Manchester United,Portero,11
Turquía,Uğurcan Çakır,Galatasaray,Portero,38
Turquía,Zeki Çelik,Roma,Defensa,59
Turquía,Merih Demiral,Al Ahli,Defensa,61
Turquía,Çağlar Söyüncü,Fenerbahçe,Defensa,59
Turquía,Eren Elmalı,Galatasaray,Defensa,21
Turquía,Abdülkerim Bardakcı,Galatasaray,Defensa,26
Turquía,Ozan Kabak,Hoffenheim,Defensa,28
Turquía,Mert Müldür,Fenerbahçe,Defensa,43
Turquía,Ferdi Kadıoğlu,Brighton,Defensa,30
Turquía,Samet Akaydin,Çaykur Rizespor,Defensa,18
Turquía,Salih Özcan,Borussia Dortmund,Mediocampista,28
Turquía,Orkun Kökçü,Beşiktaş,Mediocampista,48
Turquía,Hakan Çalhanoğlu,Inter Milan,Mediocampista,104
Turquía,İsmail Yüksek,Fenerbahçe,Mediocampista,31
Turquía,Kaan Ayhan,Galatasaray,Mediocampista,72
Turquía,Kerem Aktürkoğlu,Benfica,Mediocampista,51
Turquía,Arda Güler,Real Madrid,Mediocampista,28
Turquía,Deniz Gül,Porto,Mediocampista,6
Turquía,Kenan Yıldız,Juventus,Delantero,28
Turquía,İrfan Can Kahveci,Kasımpaşa,Delantero,45
Turquía,Yunus Akgün,Galatasaray,Delantero,17
Turquía,Barış Alper Yılmaz,Galatasaray,Delantero,33
Turquía,Oğuz Aydın,Fenerbahçe,Delantero,9
Turquía,Can Uzun,Eintracht Frankfurt,Delantero,4
Alemania,Manuel Neuer,Bayern Munich,Portero,124
Alemania,Oliver Baumann,Hoffenheim,Portero,11
Alemania,Alexander Nübel,Stuttgart,Portero,3
Alemania,Antonio Rüdiger,Real Madrid,Defensa,82
Alemania,Jonathan Tah,Bayern Munich,Defensa,45
Alemania,David Raum,RB Leipzig,Defensa,36
Alemania,Nico Schlotterbeck,Borussia Dortmund,Defensa,25
Alemania,Waldemar Anton,Borussia Dortmund,Defensa,12
Alemania,Malick Thiaw,Newcastle United,Defensa,5
Alemania,Nathaniel Brown,Eintracht Frankfurt,Defensa,3
Alemania,Joshua Kimmich,Bayern Munich,Mediocampista,108
Alemania,Leroy Sané,Galatasaray,Mediocampista,74
Alemania,Leon Goretzka,Bayern Munich,Mediocampista,69
Alemania,Kai Havertz,Arsenal,Mediocampista,57
Alemania,Jamal Musiala,Bayern Munich,Mediocampista,40
Alemania,Florian Wirtz,Liverpool,Mediocampista,39
Alemania,Pascal Groß,Brighton & Hove Albion,Mediocampista,18
Alemania,Nadiem Amiri,Mainz,Mediocampista,9
Alemania,Aleksandar Pavlović,Bayern Munich,Mediocampista,9
Alemania,Angelo Stiller,Stuttgart,Mediocampista,7
Alemania,Felix Nmecha,Borussia Dortmund,Mediocampista,6
Alemania,Jamie Leweling,Stuttgart,Mediocampista,4
Alemania,Lennart Karl,Bayern Munich,Mediocampista,2
Alemania,Nick Woltemade,Newcastle United,Delantero,10
Alemania,Deniz Undav,Stuttgart,Delantero,7
Alemania,Maximilian Beier,Borussia Dortmund,Delantero,7
Curazao,Eloy Room,Miami FC,Portero,70
Curazao,Trevor Doornbusch,VVV-Venlo,Portero,7
Curazao,Tyrick Bodak,Telstar,Portero,4
Curazao,Juriën Gaari,Abha,Defensa,58
Curazao,Roshon van Eijma,RKC Waalwijk,Defensa,27
Curazao,Sherel Floranus,PEC Zwolle,Defensa,26
Curazao,Joshua Brenet,Kayserispor,Defensa,17
Curazao,Shurandy Sambo,Sparta Rotterdam,Defensa,7
Curazao,Armando Obispo,PSV Eindhoven,Defensa,4
Curazao,Riechedly Bazoer,Konyaspor,Defensa,3
Curazao,Deveron Fonville,NEC Nijmegen,Defensa,0
Curazao,Leandro Bacuna,Iğdir F.K.,Mediocampista,70
Curazao,Juninho Bacuna,Volendam,Mediocampista,47
Curazao,Godfried Roemeratoe,RKC Waalwijk,Mediocampista,26
Curazao,Kevin Felida,Den Bosch,Mediocampista,19
Curazao,Livano Comenencia,Zürich,Mediocampista,18
Curazao,Ar'jany Martha,Rotherham United,Mediocampista,8
Curazao,Tyrese Noslin,Telstar,Mediocampista,5
Curazao,Kenji Gorré,Maccabi Haifa,Delantero,37
Curazao,Brandley Kuwas,Volendam,Delantero,34
Curazao,Gervane Kastaneer,Terengganu,Delantero,27
Curazao,Jeremy Antonisse,A.E. Kifisia,Delantero,25
Curazao,Jearl Margaritha,SK Beveren,Delantero,21
Curazao,Jürgen Locadia,Miami FC,Delantero,12
Curazao,Sontje Hansen,Middlesbrough,Delantero,5
